Date,Open,High,Low,Close
1978-01-02,-1.0292634798772216,-1.029157099803558,-1.0284090473614083,-1.02931665443328
1978-01-09,-1.0321863650822567,-1.0323672340407215,-1.0314135583480577,-1.0322394281229266
1978-01-16,-1.0322490055532945,-1.0326124665873302,-1.0316127412174585,-1.0323020662040736
1978-01-23,-1.0332209431845574,-1.0335471644084202,-1.0324989017384658,-1.0332739667534825
1978-01-30,-1.0325682698895513,-1.0330747902407726,-1.032116795825738,-1.0326213183595967
1978-02-06,-1.0320085469709237,-1.032899911293601,-1.031366811348096,-1.0320616167957999
1978-02-13,-1.0336796330853821,-1.0339511950794722,-1.0326228829122763,-1.0337326391541393
1978-02-20,-1.0344212154360548,-1.0350994663274244,-1.033751924585257,-1.0344741932115886
1978-02-27,-1.0349021326007959,-1.0352678124403627,-1.03424683304137,-1.0349550920281363
1978-03-06,-1.0344676906242438,-1.0351029840073964,-1.034019195476341,-1.034520666626633
1978-03-13,-1.0327986251701415,-1.0334064572095465,-1.0324338624341718,-1.0328516648515564
1978-03-20,-1.0323601418728774,-1.0326898555467108,-1.0316584719782902,-1.0324131982835278
1978-03-27,-1.0328996581879444,-1.033571285642513,-1.0320903736083682,-1.0329526940146967
1978-04-03,-1.032841059037619,-1.0334205279294342,-1.0323139462168796,-1.0328940971000753
1978-04-10,-1.0312588819788269,-1.0318747588446635,-1.0309277960441112,-1.0313119804052993
1978-04-17,-1.028052093993766,-1.0280837048864353,-1.0275681094816678,-1.0281053147672286
1978-04-24,-1.0257687477914228,-1.0261138041022018,-1.0255905081354748,-1.025822055680259
1978-05-01,-1.0254211942101812,-1.02567158147717,-1.0251453953967118,-1.025474515359057
1978-05-08,-1.025493937982999,-1.0256394198317131,-1.0249604398751255,-1.0255472563565178
1978-05-15,-1.0232368603652844,-1.0235448926713349,-1.0228751171811952,-1.023290264851965
1978-05-22,-1.0246210127091828,-1.0249901566140527,-1.0241413511366715,-1.0246743643869862
1978-05-29,-1.0247447781559913,-1.025330366519901,-1.0243745780169138,-1.024798125111833
1978-06-05,-1.0220082988688026,-1.0222644571615833,-1.021637337921348,-1.0220617502281797
1978-06-12,-1.023255046308489,-1.0233599632099577,-1.0225580505727614,-1.0233084501013303
1978-06-19,-1.0257323759050134,-1.0260896828681094,-1.024964504831644,-1.0257856851815286
1978-06-26,-1.0269488134393594,-1.027348007246609,-1.026198219134973,-1.027002076305737
1978-07-03,-1.0275282377964587,-1.028121896840415,-1.026844039101831,-1.0275814785563464
1978-07-10,-1.0259000907145663,-1.02670075413179,-1.0256250602658812,-1.0259533935923417
1978-07-17,-1.0244290499753574,-1.0246484391310735,-1.0238933887890505,-1.0244824089770197
1978-07-24,-1.0231701785735348,-1.0245398935776566,-1.022797883007346,-1.0232235856042924
1978-07-31,-1.019753241911444,-1.0205337586154353,-1.0191678768364305,-1.0198067793068897
1978-08-07,-1.0181387342869552,-1.018612100299388,-1.0172837694901602,-1.018192333279909
1978-08-14,-1.0176133625943806,-1.0184995345402885,-1.0168894687078773,-1.0176669816315795
1978-08-21,-1.0174496891055402,-1.0180874634578725,-1.0165398824472964,-1.0175033143872927
1978-08-28,-1.0185145771131814,-1.0193136261909157,-1.0173183216205666,-1.0185681617667903
1978-09-04,-1.016538371284959,-1.017312568812646,-1.015960118023862,-1.0165920313357677
1978-09-11,-1.0156997972371955,-1.016400987174228,-1.0150866604919746,-1.015753489281704
1978-09-18,-1.0196663535161334,-1.0199709298199404,-1.0190296683148055,-1.0197198942265893
1978-09-25,-1.01996541124883,-1.0203407887426945,-1.0194097417492745,-1.0200189405494844
1978-10-02,-1.019001556258991,-1.0196473032625308,-1.0182939111849783,-1.0190551223331268
1978-10-09,-1.0174032139173508,-1.017850271322628,-1.0169036960556916,-1.017456840972248
1978-10-16,-1.0217840055692802,-1.0215327797274394,-1.0209625551392965,-1.0218374654860083
1978-10-23,-1.0254292768516051,-1.0251107627845157,-1.0249096279186456,-1.025482597692108
1978-10-30,-1.026795243252299,-1.0266565318692866,-1.0273201471340465,-1.026848511977764
1978-11-06,-1.0276358379604185,-1.0278867148080117,-1.0272185232210869,-1.0276890746150908
1978-11-13,-1.0288926887018854,-1.0289420187995653,-1.0283201264375688,-1.028945877404555
1978-11-20,-1.0267805934647176,-1.027315343075442,-1.0263537037218011,-1.0268338627491087
1978-11-27,-1.0271124869282,-1.0273419769380863,-1.0264787011347414,-1.027165743550024
1978-12-04,-1.0251888182692346,-1.025484641912952,-1.024742964701392,-1.0252421482838343
1978-12-11,-1.025928379959551,-1.026266571918122,-1.0253100261357062,-1.0259816817580207
1978-12-18,-1.0274943917354946,-1.0279289269676741,-1.0272896599601586,-1.0275476337866942
1978-12-25,-1.0255075774404023,-1.025845455372921,-1.0250478364402706,-1.0255608952935416
1979-01-01,-1.0240754344130476,-1.0245665274403004,-1.0239401357890117,-1.0241288069060288
1979-01-08,-1.0229378026325882,-1.023372023827004,-1.0224665890510978,-1.0229912185290697
1979-01-15,-1.0223174599032792,-1.0224554169314835,-1.0218263583994527,-1.0223708994673888
